recipe,rel,material
木瓜生姜蜂蜜粥,contains,木瓜
猪肝鸡蛋粥,contains,鸡蛋
鸡丝泡饭粥,contains,猪肉松
玉米粉燕麦粥,contains,燕麦片
清汤白菜卷,contains,鸡蛋
海参眉毛肉丸,contains,冬笋
肉末炖豆腐,contains,口蘑
海鲜宽条面,contains,牛奶
端阳豆糕,contains,梅子
翡翠馄饨,contains,豌豆苗
丁香鱼饺,contains,大葱
冬瓜蒸饺,contains,火腿肠
甘笋素饺,contains,白菜
薄皮虾饺,contains,油菜心
圆笼蒸饺,contains,大葱
枸杞炖鲫鱼,contains,枸杞子
虾仁豆腐羹,contains,香菇（干）
甜甜蜜蜜,contains,糯米
东江酿豆腐,contains,虾米
糯米腊肉丸子,contains,腊肉(生)
蒸兔肉丸子,contains,木耳(水发) 
