recipe,rel,material
清蒸丸子,contains,口蘑
淡菜嵌肉,contains,火腿
清蒸钓带,contains,冬笋
莲香脱骨鸡,contains,火腿
糟熘鱼白,contains,鸡蛋清
蛋奶虾球,contains,鸡蛋清
冬菇面筋,contains,小白菜
雪花鱼丝羹,contains,火腿
腐皮黄鱼包,contains,火腿
白油鸡枞,contains,火腿
蛤肉木耳煮豆腐,contains,木耳(干)
鸡蛋蒸肉丸,contains,鸡蛋
鹑蛋炖乌鸡,contains,薏米
合炒木须肉,contains,油菜
滑熘豆腐,contains,油菜
金腿千千结,contains,青椒
菜胆扒鱼圆,contains,油菜心
韭黄炒鸡柳,contains,柿子椒
凉拌佛手瓜,contains,柿子椒
香味牛肝菌,contains,青椒
蜜汁牛肉,contains,香菇（鲜）
西洋菜煲生鱼,contains,杏仁
芹菜叶豆腐羹,contains,芹菜叶
香菇拌豆腐丝,contains,香菇（干）
松仁玉米,contains,红辣椒
海米拌油菜,contains,虾米
海参捞面,contains,猪肉(肥瘦)
砂锅鱼头豆腐,contains,冬笋
三鲜豆苗,contains,草菇
砂锅鱼头,contains,冬笋
白菜豆腐煲,contains,猪肋条肉（五花肉）
虾仁烘蛋,contains,小麦面粉
珍珠豆腐,contains,鸡蛋清
百花蒸豆腐,contains,鸡蛋清
豆苗鸡丝,contains,鸡蛋清
鸡丝豌豆,contains,鸡蛋清
拌虾皮豆腐,contains,虾皮
拌豆干荠菜松,contains,黑芝麻
豌豆菜花,contains,金糕
蔬菜豆腐泥,contains,胡萝卜
鸡圈蛋花汤,contains,鸡蛋清
莴苣叶煎蛋汤,contains,莴笋
奶汤素鱼丸,contains,紫菜(干)
家常炖黄花鱼,contains,猪肉(肥瘦)
三菇炖鱼头,contains,香菇（鲜）
豆干炖鸽蛋,contains,香菇（鲜）
奶汤炖豆腐,contains,油菜心
菜包蒸肉,contains,鸡蛋
双耳蒸肉丸,contains,木耳(水发) 
豆腐蒸蛋,contains,火腿
蒸肉豆腐,contains,鸡蛋
山楂煮鸡翅,contains,山楂
雪菜鲫鱼汤,contains,芥菜
黑豆芝麻泥鳅汤,contains,黑豆
双菇拌鸡肉,contains,香菇（鲜）
莴笋叶豆腐羹,contains,胡萝卜
冬笋里脊丝,contains,鸡蛋清
清炖鱼,contains,猪里脊肉
清蒸蛋羹,contains,猪肉(瘦)
翡翠虾仁,contains,鸡蛋
烫红白丝,contains,胡萝卜
肉片炒莴笋,contains,猪肉(瘦)
元旦烘虾,contains,牛肉(肥瘦)
甘肃回族烧牛蹄筋,contains,香菇（鲜）
竹筒烤鱼,contains,冬笋
芋头扣肉,contains,萝卜
酿小瓜,contains,虾米
菠萝鸡片,contains,鸡蛋清
蛋丝韭菜,contains,鸡蛋
长寿汤,contains,玉米（鲜）
川椒煮黄鳝,contains,青蒜
荷叶包兔,contains,荷叶
银鱼炒蛋,contains,木耳(水发) 
玉兰茄子,contains,鸡蛋
菠菜鳜鱼汤,contains,鸡蛋
鸡翅炖鳝鱼,contains,鸡翅
鲜蘑炖豆腐,contains,冬笋
虾皮瓜丝,contains,虾皮
葱油鸡丝,contains,粉皮
开阳万年,contains,豆腐
蛋花鸡汤,contains,黄瓜
鸡肉蛋花汤,contains,鸡蛋
牛肉菠菜汤,contains,鸡蛋
四色豆腐,contains,冬笋
虾仁鲜豆腐,contains,蚕豆
清炖茄子,contains,猪肋条肉（五花肉）
翡翠春笋,contains,菠菜
木犀肉,contains,冬笋
椒油拌豆腐,contains,四季豆
虾皮豆腐,contains,虾皮
清香豆腐,contains,香椿
青椒炒豆腐丁,contains,胡萝卜
菜花烧香菇,contains,香菇（干）
清蒸豆腐羹,contains,鸡蛋
草菇炖豆腐,contains,草菇
炒素肉丝,contains,豆腐
香芹拌腐竹,contains,柿子椒
青蒜烧豆腐,contains,青蒜
牛奶蒸蛋,contains,鸡肉
黄鱼烧豆腐,contains,木耳(干)
海米木耳烧冬瓜,contains,虾米
酥皮蛋饺,contains,香菇（鲜）
红烧鳗鱼,contains,猪油（板油）
黄芪鲫鱼汤,contains,黄芪
