recipe,rel,material
子姜炒鸭片,contains,大葱
子姜炒鸭片,contains,淀粉(蚕豆)
子姜炒鸭片,contains,盐
子姜炒鸭片,contains,味精
子姜炒鸭片,contains,白砂糖
子姜炒鸭片,contains,料酒
子姜炒鸭片,contains,香油
子姜炒鸭片,contains,植物油
海参一锅鲜,contains,小葱
海参一锅鲜,contains,大葱
海参一锅鲜,contains,姜
海参一锅鲜,contains,料酒
海参一锅鲜,contains,花椒
海参一锅鲜,contains,淀粉(豌豆)
海参一锅鲜,contains,香油
海参一锅鲜,contains,盐
海参一锅鲜,contains,味精
海参一锅鲜,contains,醋
海参一锅鲜,contains,胡椒粉
虾丸海参,contains,大葱
虾丸海参,contains,姜
虾丸海参,contains,淀粉(豌豆)
虾丸海参,contains,酱油
虾丸海参,contains,盐
虾丸海参,contains,味精
虾丸海参,contains,白砂糖
虾丸海参,contains,植物油
虾丸海参,contains,胡麻油
家常熬黄花鱼,contains,盐
家常熬黄花鱼,contains,酱油
家常熬黄花鱼,contains,香菜
家常熬黄花鱼,contains,大葱
家常熬黄花鱼,contains,姜
家常熬黄花鱼,contains,大蒜
家常熬黄花鱼,contains,猪油（炼制）
醉花菇,contains,花椒
醉花菇,contains,鸡油
醉花菇,contains,盐
醉花菇,contains,味精
红烧平菇,contains,大蒜
红烧平菇,contains,酱油
红烧平菇,contains,料酒
红烧平菇,contains,胡椒粉
红烧平菇,contains,味精
红烧平菇,contains,淀粉(玉米)
红烧平菇,contains,猪油（炼制）
四川神仙鸭子,contains,酱油
四川神仙鸭子,contains,姜
四川神仙鸭子,contains,大葱
四川神仙鸭子,contains,味精
四川神仙鸭子,contains,香油
四川神仙鸭子,contains,黄酒
四川神仙鸭子,contains,猪油（炼制）
四川神仙鸭子,contains,盐
四川神仙鸭子,contains,菜籽油
四川神仙鸭子,contains,冰糖
四川神仙鸭子,contains,糖色
红烧刀鱼,contains,黄酒
红烧刀鱼,contains,盐
红烧刀鱼,contains,酱油
红烧刀鱼,contains,白砂糖
红烧刀鱼,contains,葱白
红烧刀鱼,contains,姜
红烧刀鱼,contains,猪油（炼制）
麻辣豆腐,contains,大蒜
麻辣豆腐,contains,猪油（炼制）
麻辣豆腐,contains,豆瓣辣酱
麻辣豆腐,contains,盐
麻辣豆腐,contains,酱油
麻辣豆腐,contains,味精
麻辣豆腐,contains,花椒粉
麻辣豆腐,contains,香油
麻辣豆腐,contains,淀粉(豌豆)
蚝油熘滑鸡球,contains,猪油（炼制）
蚝油熘滑鸡球,contains,蚝油
蚝油熘滑鸡球,contains,盐
蚝油熘滑鸡球,contains,味精
蚝油熘滑鸡球,contains,胡椒粉
蚝油熘滑鸡球,contains,大葱
蚝油熘滑鸡球,contains,姜
蚝油熘滑鸡球,contains,淀粉(豌豆)
绣球鱼,contains,盐
绣球鱼,contains,味精
绣球鱼,contains,鸡蛋清
绣球鱼,contains,淀粉(豌豆)
绣球鱼,contains,胡椒粉
绣球鱼,contains,白酒
绣球鱼,contains,香油
金银绣球虾丸,contains,猪油（炼制）
金银绣球虾丸,contains,料酒
金银绣球虾丸,contains,盐
金银绣球虾丸,contains,味精
金银绣球虾丸,contains,胡椒粉
金银绣球虾丸,contains,大葱
金银绣球虾丸,contains,姜
金银绣球虾丸,contains,淀粉(豌豆)
金银绣球虾丸,contains,鸡油
冬瓜鸭盅,contains,料酒
冬瓜鸭盅,contains,盐
冬瓜鸭盅,contains,味精
冬瓜鸭盅,contains,胡椒粉
冬瓜鸭盅,contains,大葱
冬瓜鸭盅,contains,姜
冬瓜鸭盅,contains,碱
原煨三丝鳝筒,contains,料酒
原煨三丝鳝筒,contains,盐
原煨三丝鳝筒,contains,味精
原煨三丝鳝筒,contains,冰糖
原煨三丝鳝筒,contains,醋
原煨三丝鳝筒,contains,酱油
原煨三丝鳝筒,contains,大葱
原煨三丝鳝筒,contains,姜
原煨三丝鳝筒,contains,辣椒油
原煨三丝鳝筒,contains,香油
杂瓣海参,contains,黄酒
杂瓣海参,contains,盐
杂瓣海参,contains,味精
杂瓣海参,contains,胡椒粉
杂瓣海参,contains,小葱
杂瓣海参,contains,鸡油
杂瓣海参,contains,猪油（炼制）
粟子羊肉,contains,植物油
粟子羊肉,contains,芡粉
粟子羊肉,contains,香油
粟子羊肉,contains,大葱
粟子羊肉,contains,姜
粟子羊肉,contains,桂皮
粟子羊肉,contains,八角
粟子羊肉,contains,白砂糖
粟子羊肉,contains,味精
粟子羊肉,contains,酱油
粟子羊肉,contains,江米酒
烟筒白菜,contains,盐
烟筒白菜,contains,香油
烟筒白菜,contains,猪油（炼制）
烟筒白菜,contains,黄酒
烟筒白菜,contains,淀粉(玉米)
烟筒白菜,contains,味精
清莲花豆腐,contains,盐
清莲花豆腐,contains,味精
清莲花豆腐,contains,猪油（炼制）
大良炒鲜奶,contains,味精
大良炒鲜奶,contains,盐
大良炒鲜奶,contains,猪油（炼制）
椒麻鸡块,contains,大葱
椒麻鸡块,contains,花椒
椒麻鸡块,contains,盐
椒麻鸡块,contains,香油
椒麻鸡块,contains,味精
椒麻鸡块,contains,姜
花生焖猪尾,contains,胡椒粉
花生焖猪尾,contains,大蒜
花生焖猪尾,contains,盐
花生焖猪尾,contains,香油
花生焖猪尾,contains,白砂糖
花生焖猪尾,contains,料酒
花生焖猪尾,contains,味精
花生焖猪尾,contains,老抽
花生焖猪尾,contains,花生油
原汁武陵甲鱼,contains,味精
原汁武陵甲鱼,contains,胡椒粉
原汁武陵甲鱼,contains,小葱
原汁武陵甲鱼,contains,姜
原汁武陵甲鱼,contains,黄酒
原汁武陵甲鱼,contains,大蒜
原汁武陵甲鱼,contains,盐
原汁武陵甲鱼,contains,猪油（炼制）
原汁武陵甲鱼,contains,醋
原汁武陵甲鱼,contains,鸡油
五香火肠,contains,料酒
五香火肠,contains,盐
五香火肠,contains,酱油
五香火肠,contains,白砂糖
五香火肠,contains,醋
五香火肠,contains,味精
五香火肠,contains,香油
五香火肠,contains,桂皮
五香火肠,contains,八角
五香火肠,contains,大葱
五香火肠,contains,姜
清汤酿鸭掌,contains,料酒
清汤酿鸭掌,contains,味精
清汤酿鸭掌,contains,盐
清汤酿鸭掌,contains,胡椒粉
清汤酿鸭掌,contains,鸡油
鸡汁玉翠鱼丸,contains,猪油（炼制）
鸡汁玉翠鱼丸,contains,料酒
鸡汁玉翠鱼丸,contains,盐
鸡汁玉翠鱼丸,contains,味精
鸡汁玉翠鱼丸,contains,胡椒粉
鸡汁玉翠鱼丸,contains,白砂糖
鸡汁玉翠鱼丸,contains,大葱
鸡汁玉翠鱼丸,contains,姜
鸡汁玉翠鱼丸,contains,淀粉(豌豆)
鸡汁玉翠鱼丸,contains,鸡油
潇湘五元龟,contains,猪油（炼制）
潇湘五元龟,contains,料酒
潇湘五元龟,contains,冰糖
潇湘五元龟,contains,盐
潇湘五元龟,contains,胡椒粉
潇湘五元龟,contains,大葱
潇湘五元龟,contains,姜
红煨白鳝,contains,料酒
