叶酸
膳食纤维
蛋白质
氨基酸
矿物质
钙
铁
硒
血红蛋白铁
钾
纤维素
钾元素
维生素E
植物性蛋白质
不饱和脂肪酸
维生素
维生素A
维生素C
维生素B1
维生素B2
黑色素
B族维生素
微量元素
烟酸
磷
钠
铁元素
氟
酵素
木瓜蛋白酶
番木瓜碱
磷脂
无机盐
维生素D
胡萝卜素
鞣酸
脂肪
水分
芸香贰
辅酶Q1
糖类
优质蛋白
硫
氯
碘
抗溃疡因子
淀粉
维生素B12
维生素B
糖
苹果酸
柠檬酸
虫草素
甘露醇
S
D
多糖
虫草酸
碳水化合物
镁
锌
维他命C
有机酸
脂质
果胶质
芥子油
淀粉酶
粗纤维
植物纤维
铁质
动物蛋白
核黄素
卵磷脂
甘油三酯
胆固醇
蛋黄素
维生素B6
醣类
多糖体
锰
血红素铁
胶质
苦瓜甙
苦味素
奎宁
B2
B6
泛酸
C
黄酮类
挥发油
橙皮甙
番茄红素
果酸
果胶
硫胺素
尼克酸
氟元素
油脂
胆碱
肌糖
缬氨酸
甘氨酸
单宁
植物甾醇
维生素P
蛋白分解酵素
茶多酚
抗氧化剂
咖啡因
钾盐
纳盐
藻胆蛋白
硒元素
花青素
维他命
酸性成分
纤维
维生素B族
花青素甙
瓜氨酸
腺嘌呤
天门冬氨酸
铁冬素
不溶性膳食纤维素
牛磺酸
多酚氧化酶
植物性蛋白
甾固醇
豆甾醇
蛋白
